158.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Ruminococcaceae\,Ruminococcus\,__
69.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Acetatifactor\,s__Acetatifactor_muris
1009.0,Bacteria\,Firmicutes\,Bacilli\,Lactobacillales\,Lactobacillaceae\,Lactobacillus\,__
2040.0,Bacteria\,Bacteroidota\,Bacteroidia\,Bacteroidales\,Muribaculaceae\,__\,__
471.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Oscillospiraceae\,__\,__
24.0,Bacteria\,Firmicutes\,Clostridia\,__\,__\,__\,__
4504.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,__\,__
58.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Ruminococcaceae\,Incertae_Sedis\,__
4403.0,Bacteria\,Bacteroidota\,Bacteroidia\,Bacteroidales\,Muribaculaceae\,Muribaculum\,s__Muribaculum_intestinale
578.0,Bacteria\,Firmicutes\,Clostridia\,Clostridia_UCG-014\,Clostridia_UCG-014\,Clostridia_UCG-014\,s__uncultured_Escherichia
521.0,Bacteria\,Firmicutes\,Clostridia\,Clostridia_UCG-014\,Clostridia_UCG-014\,Clostridia_UCG-014\,__
132.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Ruminococcaceae\,__\,__
0.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Oscillospiraceae\,UCG-005\,s__uncultured_Clostridiales
228.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Lachnoclostridium\,__
106.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Sellimonas\,s__uncultured_bacterium
86.0,Bacteria\,Firmicutes\,Clostridia\,Monoglobales\,Monoglobaceae\,Monoglobus\,__
292.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,ASF356\,s__uncultured_Clostridiales
41.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Ruminococcaceae\,[Eubacterium]_siraeum_group\,s__gut_metagenome
0.0,Bacteria\,Bacteroidota\,Bacteroidia\,Bacteroidales\,Rikenellaceae\,Alistipes\,s__Alistipes_finegoldii
344.0,Bacteria\,Bacteroidota\,Bacteroidia\,Bacteroidales\,__\,__\,__
772.0,Bacteria\,Firmicutes\,Clostridia\,Clostridia_UCG-014\,Clostridia_UCG-014\,Clostridia_UCG-014\,s__uncultured_Lactococcus
818.0,Bacteria\,Bacteroidota\,Bacteroidia\,Bacteroidales\,Muribaculaceae\,Muribaculaceae\,s__uncultured_bacterium
65.0,Bacteria\,Firmicutes\,Bacilli\,RF39\,RF39\,RF39\,__
31.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Tyzzerella\,__
0.0,Bacteria\,Firmicutes\,Clostridia\,Clostridiales\,Clostridiaceae\,Candidatus_Arthromitus\,s__Candidatus_Arthromitus
70.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Lachnospiraceae_UCG-006\,s__Clostridium_sp.
54.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Ruminococcaceae\,Anaerotruncus\,__
72.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Acetatifactor\,__
62.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Ruminococcaceae\,Ruminococcus\,s__bacterium_FB2012
50.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Dorea\,__
821.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Lachnospiraceae_NK4A136_group\,s__Clostridiales_bacterium
62.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Oscillospiraceae\,Oscillibacter\,__
139.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Oscillospiraceae\,uncultured\,s__Clostridiales_bacterium
14.0,Bacteria\,Firmicutes\,Clostridia\,Christensenellales\,Christensenellaceae\,Christensenellaceae_R-7_group\,s__bacterium_YE57
2453.0,Bacteria\,Bacteroidota\,Bacteroidia\,Bacteroidales\,Bacteroidaceae\,Bacteroides\,s__Bacteroides_caccae
0.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Ethanoligenenaceae\,uncultured\,__
1024.0,Bacteria\,Deferribacterota\,Deferribacteres\,Deferribacterales\,Deferribacteraceae\,Mucispirillum\,s__Mucispirillum_schaedleri
0.0,Bacteria\,Firmicutes\,Clostridia\,Clostridia_vadinBB60_group\,Clostridia_vadinBB60_group\,Clostridia_vadinBB60_group\,__
6.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,__\,__\,__
320.0,Bacteria\,Proteobacteria\,Alphaproteobacteria\,Rhodospirillales\,uncultured\,uncultured\,s__Azospirillum_sp.
61.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,uncultured\,s__uncultured_Eubacterium
5458.0,Bacteria\,Bacteroidota\,Bacteroidia\,Bacteroidales\,Bacteroidaceae\,Bacteroides\,__
16.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Lachnospira\,__
363.0,Bacteria\,Firmicutes\,Bacilli\,Erysipelotrichales\,Erysipelotrichaceae\,Faecalibaculum\,s__Faecalibaculum_rodentium
31.0,Bacteria\,Firmicutes\,Bacilli\,Acholeplasmatales\,Acholeplasmataceae\,Anaeroplasma\,s__uncultured_Anaeroplasma
179.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,[Eubacterium]_coprostanoligenes_group\,[Eubacterium]_coprostanoligenes_group\,__
0.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,UC5-1-2E3\,__
0.0,Bacteria\,Firmicutes\,Clostridia\,Christensenellales\,Christensenellaceae\,Christensenellaceae_R-7_group\,s__bacterium_AC2043
11.0,Bacteria\,Firmicutes\,Clostridia\,Clostridia_vadinBB60_group\,Clostridia_vadinBB60_group\,Clostridia_vadinBB60_group\,s__uncultured_Clostridia
136.0,Bacteria\,Firmicutes\,Clostridia\,Oscillospirales\,Oscillospiraceae\,Oscillibacter\,s__[Clostridium]_leptum
0.0,Bacteria\,Bacteroidota\,Bacteroidia\,Bacteroidales\,Rikenellaceae\,Alistipes\,__
276.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Lachnoclostridium\,s__Clostridium_fusiformis
0.0,Bacteria\,Firmicutes\,Clostridia\,Lachnospirales\,Lachnospiraceae\,Marvinbryantia\,s__Clostridiales_bacterium
0.0,Bacteria\,__\,__\,__\,__\,__\,__
